ts;x;y;z
2022-12-27 13:56:02.454098;-0.026820;-0.007568;0.016648,
2022-12-27 13:56:02.464156;-0.024267;-0.008567;0.017997,
2022-12-27 13:56:02.474214;-0.024029;-0.007687;0.031915,
2022-12-27 13:56:02.484272;-0.017255;-0.019082;0.013511,
2022-12-27 13:56:02.494330;-0.025525;-0.002369;0.011117,
2022-12-27 13:56:02.504388;-0.010223;0.005659;0.013510,
2022-12-27 13:56:02.514446;-0.000687;0.003426;0.020094,
2022-12-27 13:56:02.524504;-0.005295;-0.011561;0.024434,
2022-12-27 13:56:02.534563;-0.003234;0.001432;0.035209,
2022-12-27 13:56:02.544621;0.010956;0.003021;0.026831,
2022-12-27 13:56:02.554679;0.009742;-0.001991;0.028477,
2022-12-27 13:56:02.564737;-0.001721;0.007975;0.028028,
2022-12-27 13:56:02.574795;0.019794;0.003477;0.021894,
2022-12-27 13:56:02.584853;0.005595;0.005798;0.018301,
2022-12-27 13:56:02.594911;-0.003860;-0.005647;0.012616,
2022-12-27 13:56:02.604969;-0.006404;-0.005227;0.006182,
2022-12-27 13:56:02.615027;-0.008184;0.009668;0.010072,
2022-12-27 13:56:02.625085;-0.003399;-0.002901;0.020997,
2022-12-27 13:56:02.635143;-0.018933;-0.004101;0.024439,
2022-12-27 13:56:02.645201;-0.021009;-0.006747;0.019803,
2022-12-27 13:56:02.655258;-0.011950;-0.001860;0.025042,
2022-12-27 13:56:02.665317;-0.012726;-0.014881;0.045241,
2022-12-27 13:56:02.675375;-0.021969;-0.000397;0.029680,
2022-12-27 13:56:02.685434;-0.004262;-0.015418;0.015766,
2022-12-27 13:56:02.695492;-0.002177;-0.024353;0.040008,
2022-12-27 13:56:02.705550;-0.011386;-0.021622;-0.001741,
2022-12-27 13:56:02.715608;-0.013083;-0.008254;0.010231,
2022-12-27 13:56:02.725666;-0.004781;0.012129;0.030583,
2022-12-27 13:56:02.735723;0.000977;0.005642;0.034174,
2022-12-27 13:56:02.745781;-0.001169;-0.004057;0.022203,
2022-12-27 13:56:02.755840;0.002234;-0.003743;0.025946,
2022-12-27 13:56:02.765898;-0.001360;-0.000054;0.036271,
2022-12-27 13:56:02.775955;0.005997;0.014739;0.036720,
2022-12-27 13:56:02.786014;-0.004581;0.010867;0.025945,
2022-12-27 13:56:02.796071;-0.002206;0.002763;0.039563,
2022-12-27 13:56:02.806129;0.004669;-0.007359;0.055125,
2022-12-27 13:56:02.816188;-0.007531;-0.004544;-0.006977,
2022-12-27 13:56:02.826247;-0.003151;-0.009876;-0.013860,
2022-12-27 13:56:02.836304;-0.017529;-0.010162;0.009035,
2022-12-27 13:56:02.846363;-0.012335;-0.007737;0.031481,
2022-12-27 13:56:02.856421;-0.025139;-0.006688;0.024597,
2022-12-27 13:56:02.866478;-0.020103;-0.003128;0.032976,
2022-12-27 13:56:02.876537;-0.033420;-0.003267;0.029982,
2022-12-27 13:56:02.886595;-0.026564;-0.008154;0.041951,
2022-12-27 13:56:02.896652;-0.032055;-0.015479;0.039708,
2022-12-27 13:56:02.906710;-0.022426;-0.009758;0.019207,
2022-12-27 13:56:02.916769;-0.017989;-0.011156;-0.001445,
2022-12-27 13:56:02.926826;-0.015308;-0.006484;0.000797,
2022-12-27 13:56:02.936885;-0.019766;-0.006254;0.018902,
2022-12-27 13:56:02.946943;-0.009255;-0.002387;0.030125,
2022-12-27 13:56:02.957000;-0.006621;-0.003540;0.006181,
2022-12-27 13:56:02.967060;0.001049;0.012814;0.021592,
2022-12-27 13:56:02.977117;0.006064;0.012012;0.016353,
2022-12-27 13:56:02.987175;0.017599;0.027277;0.030716,
2022-12-27 13:56:02.997234;0.017257;0.016897;0.028919,
2022-12-27 13:56:03.007292;0.008055;-0.002093;0.031312,
2022-12-27 13:56:03.017349;0.019493;-0.002041;-0.003554,
2022-12-27 13:56:03.027408;0.006697;-0.012236;0.017695,
2022-12-27 13:56:03.037466;0.004189;-0.012209;0.020386,
2022-12-27 13:56:03.047523;-0.280503;-0.073527;0.022927,
2022-12-27 13:56:03.057581;-1.922144;-0.704201;0.023523,
2022-12-27 13:56:03.067640;-1.839544;-0.618670;0.023369,
2022-12-27 13:56:03.077698;-0.732984;-0.245799;0.009747,
2022-12-27 13:56:03.087755;-0.422156;-0.094890;-0.009262,
2022-12-27 13:56:03.097814;0.313046;0.137924;0.020213,
2022-12-27 13:56:03.107872;0.626110;0.237027;0.027993,
2022-12-27 13:56:03.117930;0.711230;0.263320;0.007042,
2022-12-27 13:56:03.127989;0.680944;0.251626;-0.000742,
2022-12-27 13:56:03.138047;0.672636;0.249695;0.041751,
2022-12-27 13:56:03.148104;0.775119;0.291923;0.037407,
2022-12-27 13:56:03.158163;0.764504;0.283840;0.035759,
2022-12-27 13:56:03.168220;0.448608;0.162663;0.042194,
2022-12-27 13:56:03.178278;-0.025236;-0.005565;0.000443,
2022-12-27 13:56:03.188337;0.015711;0.022849;0.006880,
2022-12-27 13:56:03.198395;0.017244;0.002690;0.011221,
2022-12-27 13:56:03.208452;0.021329;0.013643;-0.000449,
2022-12-27 13:56:03.218511;0.022207;-0.008368;0.010926,
2022-12-27 13:56:03.228569;0.009657;0.004728;0.010781,
2022-12-27 13:56:03.238627;0.004173;0.012885;0.034876,
2022-12-27 13:56:03.248686;-0.000728;0.016842;0.039518,
2022-12-27 13:56:03.258744;-0.006247;0.008365;0.055079,
2022-12-27 13:56:03.268801;0.003099;0.006302;0.043405,
2022-12-27 13:56:03.278860;-0.011606;0.013845;0.017217,
2022-12-27 13:56:03.288918;-0.033792;0.015820;0.017515,
2022-12-27 13:56:03.298975;0.006235;0.013499;0.013324,
2022-12-27 13:56:03.309034;-0.020601;0.035113;0.014819,
2022-12-27 13:56:03.319092;-0.394592;0.726165;0.016012,
2022-12-27 13:56:03.329149;-0.539376;1.112698;0.000877,
2022-12-27 13:56:03.339208;-0.268032;0.788110;-0.005872,
2022-12-27 13:56:03.349266;0.070913;0.367675;0.023741,
2022-12-27 13:56:03.359324;0.211375;0.110604;0.029560,
2022-12-27 13:56:03.369381;0.279575;0.012155;-0.004132,
2022-12-27 13:56:03.379440;0.272897;-0.143487;-0.016869,
2022-12-27 13:56:03.389498;0.296242;-0.297106;0.059721,
2022-12-27 13:56:03.399557;0.369938;-0.383186;0.048476,
2022-12-27 13:56:03.409615;0.379263;-0.485906;0.007011,
2022-12-27 13:56:03.419672;0.258613;-0.634607;0.032584,
2022-12-27 13:56:03.429730;0.217434;-0.727168;0.050072,
2022-12-27 13:56:03.439789;0.021488;-0.711675;0.038536,
2022-12-27 13:56:03.449847;-0.265423;-0.581134;0.000221,
2022-12-27 13:56:03.459904;-0.051402;-0.078546;-0.033751,
2022-12-27 13:56:03.469963;0.290392;0.870125;-0.005022,
2022-12-27 13:56:03.480021;0.691697;1.388430;0.032235,
2022-12-27 13:56:03.490078;0.604036;1.488808;0.045533,
2022-12-27 13:56:03.500137;-0.181791;0.568075;0.226728,
2022-12-27 13:56:03.510194;-0.462701;-0.615971;0.095877,
2022-12-27 13:56:03.520253;-0.497683;-1.158015;-0.538612,
2022-12-27 13:56:03.530312;-0.139430;-1.392581;-0.237821,
2022-12-27 13:56:03.540370;0.507155;-1.313050;-0.297644,
2022-12-27 13:56:03.550427;0.751078;0.203043;-0.740175,
2022-12-27 13:56:03.560486;1.659822;1.517441;-0.246169,
2022-12-27 13:56:03.570544;1.517727;1.101815;0.280109,
2022-12-27 13:56:03.580601;0.857414;-0.915483;0.247130,
2022-12-27 13:56:03.590660;0.477176;-2.090255;-0.744136,
2022-12-27 13:56:03.600718;-0.253072;-1.963570;-2.583400,
