ts;x;y;z
2022-12-27 13:56:02.454098;-0.000212;0.000981;-0.000660,
2022-12-27 13:56:02.464156;-0.001065;-0.000480;-0.001051,
2022-12-27 13:56:02.474214;-0.000284;0.002026;-0.000405,
2022-12-27 13:56:02.484272;0.001816;0.001931;-0.000955,
2022-12-27 13:56:02.494330;-0.001107;-0.001872;0.001025,
2022-12-27 13:56:02.504388;-0.000770;-0.002718;-0.000458,
2022-12-27 13:56:02.514446;-0.000063;-0.001053;-0.001690,
2022-12-27 13:56:02.524504;-0.000092;0.000917;0.000124,
2022-12-27 13:56:02.534563;-0.000300;0.001182;0.002272,
2022-12-27 13:56:02.544621;-0.002122;0.001352;-0.001151,
2022-12-27 13:56:02.554679;-0.001602;-0.000473;0.001148,
2022-12-27 13:56:02.564737;-0.000958;-0.001220;0.001033,
2022-12-27 13:56:02.574795;-0.000627;0.001469;0.000752,
2022-12-27 13:56:02.584853;0.000374;-0.000110;-0.000964,
2022-12-27 13:56:02.594911;-0.001122;0.001008;-0.002875,
2022-12-27 13:56:02.604969;-0.001265;-0.000528;0.001708,
2022-12-27 13:56:02.615027;0.000753;-0.000996;-0.001216,
2022-12-27 13:56:02.625085;-0.001991;0.001050;-0.002168,
2022-12-27 13:56:02.635143;0.000069;0.000546;-0.001016,
2022-12-27 13:56:02.645201;0.000985;-0.000064;0.001704,
2022-12-27 13:56:02.655258;0.000310;-0.000735;-0.002103,
2022-12-27 13:56:02.665317;-0.000534;0.000150;0.002932,
2022-12-27 13:56:02.675375;0.001236;0.002408;0.001409,
2022-12-27 13:56:02.685434;-0.001244;0.000036;0.000241,
2022-12-27 13:56:02.695492;-0.003581;-0.001637;0.000540,
2022-12-27 13:56:02.705550;-0.002454;0.000975;0.001108,
2022-12-27 13:56:02.715608;-0.000449;0.002513;0.001691,
2022-12-27 13:56:02.725666;-0.001368;-0.000906;0.000872,
2022-12-27 13:56:02.735723;-0.003606;-0.001174;0.000097,
2022-12-27 13:56:02.745781;-0.001192;0.000890;0.001226,
2022-12-27 13:56:02.755840;-0.001612;-0.002587;0.000127,
2022-12-27 13:56:02.765898;0.000059;-0.000181;0.000216,
2022-12-27 13:56:02.775955;-0.000586;0.001077;0.000251,
2022-12-27 13:56:02.786014;-0.001290;-0.001600;-0.001099,
2022-12-27 13:56:02.796071;-0.000042;-0.001549;0.000484,
2022-12-27 13:56:02.806129;0.000886;0.002196;0.001686,
2022-12-27 13:56:02.816188;0.001001;0.000379;0.002588,
2022-12-27 13:56:02.826247;-0.000245;-0.000560;0.000461,
2022-12-27 13:56:02.836304;0.001384;0.003191;-0.000456,
2022-12-27 13:56:02.846363;-0.001357;-0.000469;0.000186,
2022-12-27 13:56:02.856421;0.001105;0.002088;-0.001441,
2022-12-27 13:56:02.866478;0.000305;0.000880;-0.001065,
2022-12-27 13:56:02.876537;0.002531;0.000231;0.000230,
2022-12-27 13:56:02.886595;-0.001080;-0.000071;0.000814,
2022-12-27 13:56:02.896652;0.000923;0.002501;0.004080,
2022-12-27 13:56:02.906710;0.003655;0.000128;0.001743,
2022-12-27 13:56:02.916769;0.000888;-0.000453;0.000639,
2022-12-27 13:56:02.926826;0.000352;-0.001324;-0.001981,
2022-12-27 13:56:02.936885;0.000202;0.001239;0.001491,
2022-12-27 13:56:02.946943;0.001028;-0.001057;0.001660,
2022-12-27 13:56:02.957000;0.001649;0.000473;0.001864,
2022-12-27 13:56:02.967060;-0.000216;-0.002154;0.000906,
2022-12-27 13:56:02.977117;-0.000108;-0.000214;-0.000264,
2022-12-27 13:56:02.987175;0.000533;0.000035;0.000955,
2022-12-27 13:56:02.997234;0.001189;-0.001153;-0.000997,
2022-12-27 13:56:03.007292;-0.000429;0.000963;-0.001252,
2022-12-27 13:56:03.017349;-0.000980;0.000336;-0.000014,
2022-12-27 13:56:03.027408;0.000464;-0.002041;-0.002988,
2022-12-27 13:56:03.037466;-0.002369;-0.003972;-0.003104,
2022-12-27 13:56:03.047523;-0.002571;-0.002194;-0.112455,
2022-12-27 13:56:03.057581;0.002453;-0.004595;-0.343904,
2022-12-27 13:56:03.067640;0.002044;-0.001731;-0.454191,
2022-12-27 13:56:03.077698;0.000982;-0.001862;-0.531406,
2022-12-27 13:56:03.087755;0.003001;-0.002428;-0.523288,
2022-12-27 13:56:03.097814;-0.000179;-0.002318;-0.473673,
2022-12-27 13:56:03.107872;-0.001865;-0.003143;-0.397811,
2022-12-27 13:56:03.117930;0.000504;-0.004090;-0.319589,
2022-12-27 13:56:03.127989;0.001113;-0.000520;-0.247254,
2022-12-27 13:56:03.138047;-0.000254;-0.001685;-0.168974,
2022-12-27 13:56:03.148104;0.000233;-0.002102;-0.081322,
2022-12-27 13:56:03.158163;-0.000049;0.000870;-0.015138,
2022-12-27 13:56:03.168220;0.002071;-0.002583;0.000933,
2022-12-27 13:56:03.178278;-0.000460;0.001593;0.002012,
2022-12-27 13:56:03.188337;-0.000945;0.002048;0.001155,
2022-12-27 13:56:03.198395;-0.000332;0.002503;-0.001057,
2022-12-27 13:56:03.208452;-0.001195;0.000915;-0.000148,
2022-12-27 13:56:03.218511;-0.001664;-0.000176;0.001746,
